Distribution,Sample Length,Gini Coefficient,Herfindahl-Hirschman Index,Entropy,Nakamoto Coefficient,Apokedro
Chi-Square,35,0.4023075837806586,0.04421803689538109,3.2881800693963057,9,0.04193691037735849
Uniform,36,0.3136282659369023,0.036201035037334225,3.42713646087121,11,0.016982197971781306
Normal,36,0.10885126755041065,0.02885285086869926,3.563218848731628,16,0.019500186381709743
Exponential,36,0.38048400457660214,0.042965387251759066,3.3235418396727066,10,0.09522405660377359
Bimodal,36,0.2202272778455825,0.03219582639328566,3.501512893728744,13,0.04141566265060241
Log-normal,36,0.28518815355618865,0.03626706875452966,3.4491729360246204,11,0.03649038461538461
Chi-Square,36,0.5381824963086664,0.055440594265358904,3.0895795885592428,7,0.050757859281437126
Uniform,37,0.22290760472862586,0.031141984662771825,3.5274260072875405,14,0.01594798166926677
Normal,37,0.12562151993761814,0.028372813924544157,3.585178311582336,16,0.01986428034102307
Exponential,37,0.5106695219787428,0.05787009515161392,3.1625909345419143,7,0.13221153846153846
Bimodal,37,0.2239184021374682,0.032576520049429514,3.493784681112584,13,0.0798076923076923
Log-normal,37,0.2829698054336234,0.0350589160810794,3.476804703822952,12,0.05557402482269504
Chi-Square,37,0.5147769232233269,0.0538849712544576,3.1675561610942857,7,0.06114130434782609
Uniform,38,0.26790108165851534,0.03215237617192208,3.5117384543755814,13,0.01353208480342742
Normal,38,0.10389196387073023,0.02719962067586189,3.6208725258067,17,0.013557596409574468
Exponential,38,0.5162956159407861,0.05523835731764121,3.1879897140937823,7,0.08962264150943396
Bimodal,38,0.2389507292704374,0.031144689307471714,3.5417086384992205,13,0.04792203608247423
Log-normal,38,0.25371815591154956,0.03288641959152704,3.5267476924317824,13,0.052923387096774195
Chi-Square,38,0.4968665321659483,0.051714864221446125,3.222817039994603,7,0.04324624316939891
Uniform,39,0.24295365441183792,0.030275400668456343,3.5606637710280626,14,0.012790119363395226
Normal,39,0.10462053446264664,0.026522224427381134,3.64668546202133,17,0.00664218482601255
Exponential,39,0.432158788996845,0.048616340040757426,3.3340152403681964,9,0.18898809523809523
Bimodal,39,0.24941596564059532,0.031707324844536665,3.5283890827702082,13,0.03378966718266254
Log-normal,39,0.25397575863051447,0.031461627319337326,3.5583911084779785,13,0.041555851063829786
Chi-Square,39,0.49114871512493113,0.05110098816209527,3.2598670621473014,8,0.07924107142857142
Uniform,40,0.2968233705740821,0.03181213574231842,3.549323515240016,12,0.012497586442490494
Normal,40,0.11919784683143408,0.026103421072931884,3.6661712856704236,17,0.00975350633402275
Exponential,40,0.4620027447040135,0.04418658399976086,3.3275996782678066,9,0.07216061827956989
Bimodal,40,0.2235343638119655,0.02903404130178796,3.604454479712734,15,0.029188368055555556
Log-normal,40,0.3142526795215955,0.03349993476736392,3.531440802466765,12,0.01697716346153846
Chi-Square,40,0.46570337398032546,0.043963114061568664,3.323510812967845,9,0.08570075757575757
Uniform,41,0.31194551916286606,0.03172740429735559,3.5595431096539425,12,0.011698749165182546
Normal,41,0.09809161917620964,0.02512503847782238,3.6986398857268874,18,0.01358876329787234
Exponential,41,0.47365775989481335,0.04580602528134109,3.329270246556405,9,0.08743106617647059
Bimodal,41,0.22066605746604823,0.02887736763627063,3.6091073775379297,14,0.015006165341578328
Log-normal,41,0.2518520231349914,0.029178446939886124,3.614780848025089,14,0.01111530807783019
Chi-Square,41,0.49367748902191144,0.046241112684367654,3.306176634581041,8,0.0349173785971223
Uniform,42,0.29139287744364767,0.029922013277592415,3.599334119122024,14,0.009479036321127503
Normal,42,0.1311603277128179,0.02507525578665623,3.7101042264344315,18,0.010008848295759527
Exponential,42,0.5275379644229454,0.05145232877794809,3.2596275721083745,8,0.12604166666666666
Bimodal,42,0.2343722281487327,0.028075586634377075,3.6441279444824715,15,0.016240330520393812
Log-normal,42,0.2857882955006928,0.03150230697701632,3.5983263165925896,13,0.115234375
Chi-Square,42,0.4627891894471222,0.04171034672709029,3.376673890645351,9,0.043603515625
Uniform,43,0.2302109685235129,0.027004406588390737,3.67275030199004,15,0.008303281154003686
Normal,43,0.10912685612821299,0.024118628528887347,3.74216202902173,19,0.007015631165329475
Exponential,43,0.488375344555109,0.044287639501904015,3.364256599820709,9,0.04861111111111111
Bimodal,43,0.21702712639614724,0.027541085676799,3.657134975918664,15,0.04053101503759399
Log-normal,43,0.25049816557858373,0.028219899768206626,3.660372519467583,15,0.04212622549019608
Chi-Square,43,0.46816783139382573,0.046121725810046844,3.375244292868068,9,0.18382352941176472
Uniform,44,0.26716756173912903,0.0277936869421702,3.6540261910465244,15,0.013148699562469616
Normal,44,0.09821611363080701,0.02342147469607666,3.768628757095688,19,0.009394324204946996
Exponential,44,0.536268231082111,0.0525912629035192,3.2790642529406635,7,0.06833964646464646
Bimodal,44,0.2180093392025647,0.02628220298469923,3.7020961011743596,16,0.032255569306930694
Log-normal,44,0.3109963793232465,0.030183886764134513,3.6317138807175957,13,0.02389171511627907
Chi-Square,44,0.48963582757982604,0.04265920855215626,3.3845754875580356,9,0.05057832792207792
Uniform,45,0.2547934636794461,0.02658751787782776,3.7002821548549547,15,0.011016693874378109
Normal,45,0.12430718216484027,0.023318502900060174,3.780268158408249,19,0.007478583494208494
Exponential,45,0.4492541190155451,0.03666952729170598,3.464809207885708,10,0.02658669800884956
Bimodal,45,0.2401525318665905,0.026943529827686906,3.6866044175138333,15,0.032177605540897096
Log-normal,45,0.3005120276548488,0.028868896758815835,3.6645448010076387,14,0.017065616054389315
Chi-Square,45,0.4259139137685845,0.03650132061689679,3.5097113152542767,11,0.038374174008810574
Uniform,46,0.2766705850271616,0.026763006323574607,3.7016415938545757,15,0.009481309335443038
Normal,46,0.10492326968073538,0.022479971129992615,3.81123569366251,20,0.006807085866261399
Exponential,46,0.5201347133307486,0.0470152968008861,3.3560333121196755,8,0.09040178571428571
Bimodal,46,0.22496372767699127,0.025417136851530426,3.741071725978494,16,0.056117957746478875
Log-normal,46,0.2846075161143648,0.027728108839565245,3.7017615496982352,14,0.015367067131327954
Chi-Square,46,0.4636198595219321,0.037201058091062486,3.470667262506481,10,0.013022323983972524
Uniform,47,0.2729831647661267,0.026063132466933637,3.7285578609309553,16,0.01268537798830112
Normal,47,0.12114101347843315,0.022287189838333676,3.8258471498532014,20,0.014678697183098591
Exponential,47,0.5681552772554918,0.054087057008897405,3.271191473562672,7,0.13616071428571427
Bimodal,47,0.20994790063068947,0.024994133867342658,3.7510469299547844,17,0.06471108490566038
Log-normal,47,0.28892497520950716,0.027090233923635132,3.716385861397036,15,0.026250846119133572
Chi-Square,47,0.4815082451543395,0.04111439623669628,3.4568859522899187,10,0.07979910714285714
Uniform,48,0.22328637595470444,0.02397879571391946,3.789350919625825,17,0.008589745242163563
Normal,48,0.128092029236169,0.021902946129865222,3.8453568207983393,20,0.0069616488422291995
Exponential,48,0.5325558197938437,0.04311640633717424,3.391799146427011,9,0.03661950325732899
Bimodal,48,0.23070947550283968,0.02446200960236957,3.7802473189777164,17,0.04991319444444445
Log-normal,48,0.2977116768944483,0.02745510750405292,3.727872511583524,14,0.02612881397637795
Chi-Square,48,0.5531693901052162,0.05587105187399126,3.3113056021914566,8,0.18382352941176472
Uniform,49,0.2876950135839547,0.025550908569013632,3.7529286140506652,16,0.008968248279816514
Normal,49,0.11186129324787106,0.021205856076153672,3.8717095892213007,21,0.009922631906258183
Exponential,49,0.48070224524895555,0.03883142270549942,3.499732728767941,10,0.06875
Bimodal,49,0.23045569581438294,0.024464728597325663,3.7807552572954033,17,0.04057459677419355
Log-normal,49,0.2791215989161405,0.025796747983955003,3.7672304652388204,15,0.025654368156934306
Chi-Square,49,0.5185859222881825,0.04049537487758691,3.431964053037569,9,0.05206585570469799
Uniform,50,0.23663259932582364,0.023423942249381192,3.814708424280636,18,0.00915565501562944
Normal,50,0.10639339694685873,0.02072454591323108,3.8943393731822016,22,0.01727166276346604
Exponential,50,0.5210397427665617,0.040263461832938205,3.438574704222555,10,0.12298387096774194
